vorname;anzahl
Wiktoria;1
Wilhelmine;2
Wilma;3
Wiltrud;1
Wu-Mei;1
Xenia;6
Xi;2
Xiaotian;1
Xin;1
Xing-Ya;1
Xinya;1
Xinyuan;1
Xinyue;1
Xinzhi;1
Xi-Yao;1
Xiyu;1
Ya;1
Yüsra;1
Yaël;1
Yağmur;2
Yade;1
Yahya;1
Yajing;1
Yalda;1
Yao;1
Yara;6
Yaren;2
Yasamin;1
Yashaswi;1
Yasmin;9
Yasmine;1
Yassine;1
Yawei;1
Yazdin;1
Ye;1
Yeonah;1
Yeon-Ji;1
Yifei;1
Yijia;1
Yilai;1
Yilin;1
Yiling;1
Yin;1
Yiwei;1
Ylvi;1
Yoana;1
Yoko;1
Yolanda;1
Yorsaliem;1
Yousra;3
Youssra;2
Youzi;1
Yu;2
Yudzhel;1
Yui;1
Yuki;1
Yukino;1
Yumi;1
Yumo;1
Yuna;4
Yuri;1
Yuriko;1
Yurou;1
Yusra;3
Yve;2
Yzza;1
Zümra;5
Zafija;1
Zana;1
Zaur;1
Zaynab;1
Zehra;1
Zeinab;2
Zelda;1
Zermariam;1
Zeyad;1
Zeynab;1
Zeynep;7
Zhana;1
Zhuoyi;1
Zi;2
Zieba;1
Ziling;1
Zina;1
Zitong;1
Zitra;1
Zlatinka;1
Zoèy;1
Zoë;1
Zoé;5
Zoe;16
Zoe-Marie;1
Zoe-Sophie;1
Zoey;3
Zoey-Sophie;1
Zofia;2
Zohaa;1
Zohra;1
Zoi;3
Zomorda;1
Zora;1
Zorka;1
Zuzanna;2
