vorname;anzahl
Dita;1
Divine;1
Dmytrevna;1
Dmytrivna;1
Doad;1
Dobromirova;1
Dominique;1
Dona;1
Donya;1
Dora;2
Doreen;1
Dorentina;1
Dorisa;1
Dorka;1
Dorota;1
Dorothea;4
Doti;1
Dounia;1
Dua;2
Duanaz;1
Dunja;1
Dunya;1
Durusu;1
Dzhelil;1
Dzula;1
Ebba;2
Ece;3
Ecrin;3
Eda;4
Edda;3
Edina;1
Edita;1
Edith;4
Efnan;1
Efrata;1
Eftihia;1
Eita;1
Ejona;1
Ekatharina;1
Ekin;1
Ela;12
Eléne;1
Elaf;1
Elaia;1
Elda;1
Elea;4
Eleanor;1
Elef;1
Elena;18
Elena-Bogdana;1
Eleni;5
Elenia;1
Eleni-Irini;1
Eleni-Maria;1
Elenora;1
Eleonora;3
Elfrida;1
Elfrieda;1
Elfriede;4
Elhana;1
Elia;2
Eliana;4
Eliane;1
Elianna-Jane;1
Elias;1
Elies;2
Elif;16
Elif-Liya;1
Elifsu;1
Elif-Su;1
Elin;8
Elina;15
Elina-Sophie;1
Eline;1
Elion;1
Elis;2
Elisa;37
Elisabeth;56
Elisabetta;1
Elisa-Svetlana;1
Elise;13
Elisha;1
Elisiana;1
Elissa;3
Eliza;2
Elizabella;1
Elizabet;1
Elizabeta;1
Elizabeth;2
Elizan;1
Ella;30
Ellarose;1
Ella-Sophie;1
Ellen;10
Elli;2
Ellie;2
Ellien;1
Ellinor;1
Elly;3
Elma;1
Elmedina;1
Elodie;1
Elsa;2
Elsa-Luisa;1
Else;1
Elva;1
Elvedina;1
Elvin;1
Elvira;1
Elya;1
Elyssa;1
Elza;2
Emel;1
Emelie;4
Emely;2
Emilia;93
Emilié;1
Emilia-Leony;1
Emiliana;1
Emilia-Sophie;1
Emilie;7
Emilienne;1
Emilija;1
Emilova;1
Emily;30
Emily-Philipa;1
Emina;1
Emliy;1
Emma;67
Emma-Lotte;1
Emmanuela;1
Emmanuella;1
Emmi;5
Emmy;1
Emmy-Louise;1
Emna;1
Eni;1
Enie;1
Enni;1
Enya;1
